carat,cut,color,clarity,depth,table,price,x,y,z,latitude,longitude 
1.2,Premium,I,SI2,61.5,58.0,4838,6.82,6.77,4.18,42.8352778,-88.2763889
1.2,Fair,J,SI1,65.2,58.0,4838,6.67,6.58,4.32,37.8663889,-82.5388889
1.2,Premium,J,SI1,61.4,59.0,4838,6.87,6.82,4.2,46.1541667,-119.0327778
0.9,Premium,F,VS2,62.3,58.0,4838,6.16,6.14,3.83,33.4222222,-111.8219444
0.9,Ideal,F,VS2,62.0,56.0,4838,6.23,6.15,3.84,33.9163889,-78.1613889
1.2,Premium,J,VS2,60.8,60.0,4839,6.85,6.89,4.18,33.2775,-85.0980556
1.01,Good,H,VS2,64.2,55.0,4839,6.38,6.34,4.08,31.5241667,-96.5336111
1.01,Premium,H,VS2,60.5,58.0,4839,6.46,6.4,3.89,34.0238889,-118.1711111
1.03,Ideal,D,SI2,60.7,55.0,4839,6.61,6.53,3.99,29.7630556,-95.3630556
1.08,VeryGood,E,SI2,59.5,59.0,4840,6.71,6.78,4.01,30.4380556,-84.2808333
1.14,VeryGood,I,SI1,,55.0,4840,6.66,6.72,4.19,38.7538889,-95.8347222
1.07,Ideal,H,SI2,62.4,55.0,4840,6.56,6.59,4.1,36.1538889,-95.9925
1.12,Ideal,J,SI1,62.4,57.0,4840,6.65,6.6,4.14,37.0561111,-85.0886111
1.0,Ideal,I,VS2,62.4,52.0,4841,6.41,6.45,4.02,34.2611111,-116.8441667
1.21,Premium,J,VS2,59.9,59.0,4841,6.92,6.86,4.13,45.1888889,-93.5527778
0.9,VeryGood,H,VVS2,59.7,62.0,4842,6.2,6.23,3.71,30.0969444,-95.6158333
1.0,VeryGood,H,VS2,63.0,59.0,4842,6.43,6.34,4.02,36.1583333,-81.1477778
1.11,Premium,H,SI1,58.4,60.0,4842,6.87,6.83,4.0,32.8405556,-83.6325
1.03,Premium,H,SI1,62.2,60.0,4843,6.4,6.43,3.99,39.0997222,-94.5783333
1.03,Good,H,SI1,63.3,57.0,4843,6.39,6.41,4.05,40.6855556,-76.1958333
1.01,Ideal,F,SI2,62.7,57.0,4843,6.36,6.39,4.0,60.666667,15.766667
1.0,VeryGood,G,SI1,62.6,59.0,4844,6.29,6.33,3.95,25.939741,-81.707535
0.82,VeryGood,G,IF,61.9,57.0,4844,5.96,6.0,3.7,40.0333333,-83.1583333
1.0,Good,F,SI1,63.8,57.0,4844,6.21,6.29,3.99,47.2502778,-122.2925
1.0,Good,F,SI1,64.9,57.0,4844,6.25,6.32,4.08,39.7391667,-75.5983333
1.01,Fair,E,SI1,65.3,59.0,4844,6.13,6.19,4.02,29.8944444,-81.3147222
1.0,Fair,E,SI1,57.4,61.0,4844,6.53,6.63,3.78,43.0116667,-88.2313889
1.2,Premium,I,VS2,62.3,57.0,4844,6.79,6.74,4.22,33.5422222,-117.7822222
1.2,Ideal,I,VS2,62.6,57.0,4844,6.74,6.67,4.2,37.883664,-85.965269
1.05,Good,H,SI1,59.2,60.0,4845,6.59,6.62,3.91,-31.95224,115.861397
1.03,Fair,D,SI1,64.4,61.0,4845,6.33,6.25,4.05,35.1494444,-90.0488889
1.03,Ideal,E,SI2,62.3,56.0,4845,6.52,6.44,4.04,47.7625,-122.2041667
1.03,Premium,E,SI2,61.8,59.0,4845,6.47,6.42,3.98,34.72534,-77.3442
0.9,VeryGood,F,VS2,62.3,59.0,4846,6.1,6.16,3.82,49.9,-119.483333
0.9,VeryGood,D,SI1,,59.0,4846,,6.24,3.76,33.7069444,-117.2441667
1.04,Ideal,I,SI1,61.2,56.0,4846,6.53,6.55,4.0,42.6072222,-83.9294444
1.01,VeryGood,F,SI1,63.5,59.0,4846,6.39,6.3,4.03,41.7405556,-71.3091667
0.72,VeryGood,E,VVS1,61.2,57.0,4847,5.73,5.78,3.53,45.3566667,-122.8388889
1.2,Good,G,SI2,63.1,57.0,4847,6.73,6.77,4.26,45.0775,-83.7161111
0.9,Good,H,VVS1,63.8,59.0,4847,6.09,6.13,3.9,36.2694444,-95.8544444
1.11,VeryGood,G,SI2,63.2,56.0,4848,6.61,6.56,4.16,41.3113889,-105.5905556
1.03,VeryGood,I,SI1,63.0,55.0,4848,6.37,6.42,4.03,37.5969444,-115.2233333
0.91,VeryGood,G,VVS2,63.4,58.0,4849,6.1,6.14,3.88,32.318231,-86.902298
1.09,VeryGood,H,SI1,61.7,59.0,4849,6.53,6.59,4.05,45.6716667,-122.6616667
1.11,Ideal,I,SI1,61.4,60.0,4849,6.61,6.65,4.07,30.5080556,-97.6786111
0.96,Fair,F,SI1,60.7,65.0,4849,6.43,6.28,3.86,52.355518,-1.17432
1.64,Fair,G,I1,64.5,60.0,4849,7.44,7.35,4.76,36.175,-115.1363889
0.31,Premium,G,SI1,60.4,58.0,593,4.42,4.39,2.66,39.7686111,-76.68
0.31,Premium,G,SI1,60.7,60.0,593,4.36,4.34,2.64,39.9611111,-82.9988889
0.31,Ideal,D,SI2,61.3,56.0,593,4.41,4.36,2.69,47.0380556,-122.8994444
0.31,Premium,D,SI2,60.1,60.0,593,4.41,4.38,2.64,26.6155556,-80.0572222
0.31,Ideal,D,SI2,62.1,57.0,593,4.34,4.32,2.69,38.6272222,-90.1977778
0.31,Good,D,SI2,63.7,55.0,593,4.35,4.32,2.76,34.2541667,-110.0291667
0.31,VeryGood,D,SI2,63.1,54.0,593,4.38,4.33,2.75,45.526917,-75.804361
0.31,Ideal,D,SI2,62.8,53.0,593,4.37,4.35,2.74,44.65,-63.6
0.31,Ideal,D,SI2,62.3,56.0,593,4.38,4.35,2.72,35.7972222,-82.6841667
0.31,Ideal,D,SI2,62.5,55.0,593,4.34,4.3,2.7,26.625,-81.625
0.31,Premium,D,SI2,62.7,59.0,593,4.35,4.3,2.71,43.0730556,-89.4011111
0.31,Ideal,D,SI2,62.9,54.0,593,4.35,4.3,2.72,39.7683333,-86.1580556
0.31,Good,D,SI2,63.6,54.0,593,4.34,4.31,2.75,43.9716667,-70.6097222
0.31,Premium,D,SI2,62.1,59.0,593,4.35,4.31,2.69,47.8108333,-122.3761111
0.31,Ideal,D,SI2,62.6,57.0,593,4.35,4.27,2.7,44.2113889,-69.2747222
0.31,Premium,D,SI2,62.9,59.0,593,4.31,4.28,2.7,37.3688889,-122.0352778
0.31,Good,D,SI2,63.9,57.0,593,4.33,4.28,2.75,41.7075,-86.895
0.31,Premium,I,SI1,60.7,58.0,593,4.42,4.38,2.67,41.1983333,-74.4836111
0.31,Ideal,D,SI2,62.0,56.0,593,4.35,4.33,2.69,39.9522222,-75.1641667
0.3,Premium,H,VVS1,61.3,58.0,593,4.3,4.32,2.64,34.1361111,-117.8644444
0.32,VeryGood,E,VS2,61.6,58.0,594,4.4,4.47,2.73,39.0638889,-108.55
0.33,Premium,I,VS2,61.0,61.0,594,4.46,4.43,2.71,42.3683333,-88.8219444
0.33,Premium,I,VS2,60.6,58.0,594,4.47,4.44,2.7,39.0916667,-104.8722222
0.33,Premium,I,VS2,62.0,60.0,594,4.46,4.41,2.75,38.4108333,-87.7613889
0.33,Ideal,I,VS2,61.5,57.0,594,4.49,4.42,2.74,36.6002778,-121.8936111
0.33,Premium,I,VS2,62.6,58.0,594,4.42,4.34,2.74,39.205,-76.6530556
0.33,Ideal,I,VS2,62.4,56.0,594,4.43,4.39,2.75,49.483333,-113.95
0.33,Premium,I,VS2,61.1,59.0,594,4.44,4.4,2.7,42.7069444,-71.1636111
0.33,Ideal,H,SI1,63.0,56.0,594,4.42,4.41,2.78,36.175,-115.1363889
0.33,Premium,E,SI2,60.0,59.0,594,4.49,4.47,2.69,38.4736111,-122.8891667
1.01,VeryGood,J,VVS2,62.2,56.0,4850,6.37,6.42,3.98,32.6394444,-96.5380556
1.15,VeryGood,I,SI1,62.5,60.0,4851,6.68,6.72,4.19,35.7913889,-78.7813889
1.05,VeryGood,E,SI2,,56.0,4851,6.47,6.54,4.05,39.9019444,-75.3502778
1.0,VeryGood,F,SI1,61.4,62.0,4851,6.32,6.36,3.89,38.2541667,-85.7594444
1.0,Good,F,SI1,63.6,58.0,4851,6.27,6.31,4.0,34.1861111,-103.3338889
1.0,Premium,F,SI1,59.7,60.0,4851,6.48,6.51,3.88,37.9236111,-104.9297222
1.0,VeryGood,F,SI1,62.8,59.0,4851,6.32,6.36,3.98,40.5,-111.95
1.0,Good,F,SI1,,61.0,4851,,,4.01,41.38871,33.78273
1.02,Ideal,F,SI2,62.6,56.0,4851,6.38,6.44,4.01,29.3836111,-94.9025
1.01,Ideal,H,SI1,62.7,56.0,4851,6.41,6.44,4.03,32.7152778,-117.1563889
1.12,VeryGood,G,SI2,60.2,59.0,4852,6.7,6.85,4.08,29.4238889,-98.4933333
0.99,VeryGood,F,SI2,61.2,56.0,4852,6.4,6.45,3.93,26.7052778,-80.0366667
1.22,Ideal,F,SI2,62.0,57.0,4852,6.88,6.83,4.25,52.633333,1.3
1.01,VeryGood,F,SI2,62.7,55.0,4853,6.32,6.4,3.99,34.6863889,-76.8955556
1.09,VeryGood,F,SI2,63.2,58.0,4853,6.54,6.49,4.12,44.058048,-75.748778
1.01,Good,E,SI1,64.3,59.0,4853,6.34,6.31,4.07,32.8719444,-97.8663889
1.01,Premium,E,SI1,62.9,59.0,4853,6.38,6.3,3.99,29.028318,-81.303118
1.12,Good,I,VS2,,55.0,4853,6.63,6.57,4.21,36.4375,-86.9672222
1.01,Premium,G,VS1,59.5,60.0,4853,6.49,6.48,3.86,47.6261111,-120.2241667
1.01,Good,E,SI1,60.9,64.0,4853,6.29,6.22,3.81,46.1327778,-123.3736111
1.01,Fair,E,SI1,69.5,55.0,4853,6.0,5.94,4.15,35.2233333,-114.2222222
1.01,Ideal,E,SI1,60.7,57.0,4853,6.52,6.49,3.95,45.9194444,-119.2880556
1.01,Premium,E,SI1,59.6,59.0,4853,6.53,6.46,3.87,-25.747732,27.887178
1.01,Premium,E,SI1,62.0,58.0,4853,6.41,6.37,3.96,32.9125,-96.6386111
1.01,VeryGood,E,SI1,63.1,55.0,4853,6.41,6.34,4.02,31.1502778,-81.3697222
1.13,Ideal,D,SI2,,55.0,4854,6.73,6.7,4.14,46.753355,-85.25734
0.89,Ideal,F,VS2,61.5,55.0,4854,6.18,6.21,3.81,34.0194444,-118.4902778
1.11,Ideal,J,VS1,61.7,57.0,4854,6.67,6.72,4.13,41.4444444,-87.6313889
0.9,Ideal,E,SI1,61.1,56.0,4854,6.21,6.23,3.8,45.4,-74.033333
1.24,Premium,H,SI2,62.1,58.0,4854,6.92,6.88,4.28,33.6377778,-86.9166667
1.13,Premium,I,SI1,61.5,60.0,4854,6.72,6.68,4.12,35.3858333,-94.3983333
1.01,VeryGood,H,SI1,61.8,60.0,4855,6.38,6.44,3.96,39.9783333,-86.1180556
1.02,Ideal,F,SI2,61.3,56.0,4855,6.5,6.48,3.98,29.7352778,-94.9772222
1.02,Premium,G,SI1,60.7,60.0,4855,6.51,6.48,3.94,33.7825,-117.2277778
1.02,Premium,F,SI1,58.4,59.0,4855,6.65,6.57,3.86,47.6063889,-122.3308333
1.23,Premium,J,VS2,62.7,58.0,4856,6.81,6.77,4.26,42.1291667,-80.0852778
1.08,VeryGood,E,SI2,63.4,56.0,4857,6.55,6.5,4.14,32.3666667,-86.3
1.05,Premium,G,SI1,,60.0,4857,,,4.01,39.7683333,-86.1580556
1.01,VeryGood,I,VS1,59.7,58.0,4858,6.53,6.57,3.91,41.85,-87.65
0.9,VeryGood,E,VS2,62.7,56.0,4858,6.13,6.21,3.87,36.3727778,-94.2086111
1.01,Ideal,F,SI2,,57.0,4858,,,4.01,40.8916667,-76.7977778
0.93,Ideal,E,SI2,60.5,54.0,4858,6.4,6.38,3.87,27.9011111,-81.5861111
1.24,Premium,I,VS2,61.2,58.0,4858,6.94,6.89,4.23,32.2216667,-110.9258333
0.79,Ideal,F,VVS1,61.5,55.0,4858,5.98,5.95,3.67,26.2708333,-80.2708333
1.0,Good,G,SI1,61.9,61.0,4859,6.36,6.4,3.95,33.4483333,-112.0733333
0.91,Ideal,G,VS1,62.3,55.0,4860,6.17,6.22,3.86,52.466667,-1.916667
0.71,Ideal,E,VVS1,61.0,57.0,4860,5.75,5.76,3.51,44.4372222,-90.9111111
0.91,Fair,G,VS2,,54.0,4860,6.04,6.08,3.93,45.5,-73.583333
1.26,Ideal,J,SI2,62.8,54.0,4860,6.91,6.89,4.33,41.7416667,-70.4522222
1.0,Fair,H,VS2,64.8,62.0,4861,6.22,6.13,4.0,40.7141667,-74.0063889
1.07,VeryGood,G,SI1,60.5,62.0,4861,6.6,6.69,4.02,47.6588889,-117.425
1.07,VeryGood,D,SI2,62.6,61.0,4861,6.42,6.49,4.04,35.0525,-78.8786111
1.07,Good,G,SI1,63.1,59.0,4861,6.45,6.49,4.08,32.8138889,-96.9486111
1.22,VeryGood,J,SI2,60.5,58.5,4861,6.84,6.96,4.17,46.8722222,-113.9930556
1.0,Ideal,D,SI1,,57.0,4861,6.54,6.48,3.92,47.6588889,-117.425
1.15,Premium,G,SI2,62.5,55.0,4861,6.72,6.68,4.19,42.2169444,-88.0494444
1.24,Good,G,SI2,63.7,60.0,4861,6.77,6.7,4.3,34.7391667,-112.0091667
1.0,Ideal,G,SI2,62.3,56.0,4861,6.46,6.44,3.96,43.1547222,-77.6158333
1.0,Premium,H,VS2,59.7,58.0,4861,6.57,6.52,3.91,41.5244444,-90.5155556
1.0,Good,H,VS2,63.7,59.0,4861,6.3,6.26,4.0,34.1747222,-86.8436111
1.06,Ideal,F,SI1,61.3,57.0,4862,6.56,6.51,4.01,36.180267,-115.316108
1.06,Premium,F,SI1,62.4,58.0,4862,6.56,6.51,4.07,34.1083333,-117.2888889
1.06,Ideal,F,SI1,61.2,55.0,4862,6.62,6.57,4.03,41.7613889,-88.4436111
1.06,Premium,F,SI1,61.9,58.0,4862,6.58,6.53,4.06,51.514125,-0.093689
0.99,VeryGood,G,SI1,62.8,56.0,4863,6.34,6.36,3.99,41.364758,-87.441147
1.15,Premium,G,SI1,62.0,58.0,4863,6.77,6.68,4.17,44.5519444,-69.6322222
1.31,Good,G,SI2,63.8,56.0,4864,7.03,6.89,4.44,41.9438889,-85.6325
1.08,Premium,F,SI1,62.1,58.0,4864,6.57,6.61,4.09,29.7630556,-95.3630556
1.0,Ideal,E,SI1,61.5,57.0,4864,6.41,6.47,3.96,41.2736111,-82.8416667
1.0,VeryGood,E,SI1,61.9,62.0,4864,6.34,6.4,3.94,34.048928,-111.093731
1.0,VeryGood,E,SI1,62.1,57.0,4864,6.35,6.4,3.96,38.5733333,-109.5491667
0.72,Ideal,E,VVS1,61.4,57.0,4864,5.74,5.79,3.54,41.6302778,-87.8538889
0.96,Premium,E,SI1,60.0,60.0,4864,6.44,6.39,3.85,39.575158,2.653674
1.01,Fair,G,VS1,66.8,61.0,4864,6.15,6.06,4.08,41.3888889,-70.5138889
1.19,Premium,I,SI1,62.2,58.0,4865,6.77,6.73,4.2,40.2491667,-75.1344444
1.01,Good,H,SI2,63.0,61.0,4865,6.32,6.29,3.97,39.80832,-104.933868
1.05,Ideal,F,SI2,62.7,54.0,4866,6.5,6.54,4.09,28.0219444,-81.7330556
1.0,Ideal,G,SI1,62.4,56.0,4867,6.34,6.41,3.98,30.8483333,-93.7572222
1.0,VeryGood,D,SI2,62.6,57.0,4867,6.37,6.4,4.0,40.7141667,-74.0063889
1.01,VeryGood,H,SI1,59.3,62.0,4868,6.57,6.55,3.89,47.4830556,-122.2158333
1.1,Ideal,I,SI1,60.8,61.0,4868,6.63,6.7,4.05,41.314497,-81.83569
1.01,Ideal,G,SI1,,58.0,4868,,,3.97,39.0008333,-120.9913889
1.16,VeryGood,I,VS2,62.6,59.0,4869,6.63,6.69,4.17,33.0916667,-97.0463889
1.16,Ideal,I,VS2,,56.0,4869,,,4.07,34.3580556,-86.2947222
0.84,VeryGood,D,VS1,60.1,58.0,4869,6.12,6.15,3.69,47.6588889,-117.425
1.01,VeryGood,F,SI1,60.8,59.0,4869,6.49,6.53,3.96,45.6388889,-122.6602778
1.15,Ideal,H,SI2,62.0,56.0,4870,6.68,6.75,4.16,47.751074,-120.740139
1.23,Good,J,SI1,,57.6,4870,,,4.27,56.016667,-3.733333
1.02,Ideal,H,SI2,62.4,55.0,4870,6.41,6.46,4.02,35.0844444,-106.6505556
1.11,VeryGood,H,SI1,62.0,55.0,4871,6.61,6.68,4.12,47.0227778,-91.6705556
0.9,Ideal,H,VS2,60.9,54.0,4871,6.19,6.22,3.78,42.8247222,-83.2647222
0.92,Ideal,E,SI2,62.3,56.0,4871,6.21,6.25,3.88,46.6622222,-122.9627778
0.9,Ideal,G,SI1,61.9,57.0,4871,6.16,6.19,3.82,33.827395,-78.642792
1.09,Ideal,H,SI1,61.9,56.0,4871,6.64,6.61,4.1,52.705478,4.705315
1.09,VeryGood,H,SI1,63.2,57.0,4871,6.57,6.54,4.14,34.048928,-111.093731
1.09,Premium,H,SI1,61.8,58.0,4871,6.63,6.58,4.08,52.355518,-1.17432
1.09,Ideal,H,SI1,62.2,56.0,4871,6.59,6.56,4.09,27.0591667,-80.1366667
1.09,Ideal,H,SI1,62.4,55.0,4871,6.68,6.59,4.14,36.8255556,-79.3983333
0.9,VeryGood,G,VS1,61.7,60.0,4872,6.11,6.2,3.8,43.0944444,-79.0569444
1.2,Premium,I,SI1,61.7,56.0,4872,6.82,6.76,4.19,40.6952778,-80.305
1.01,Ideal,I,SI1,60.0,60.0,4872,6.53,6.57,3.93,39.2183333,-77.9055556
1.16,Premium,H,SI2,61.8,58.0,4872,6.81,6.75,4.19,27.7636111,-98.2386111
1.06,Premium,H,SI1,61.6,59.0,4872,6.55,6.54,4.03,35.051532,24.873037
1.06,Premium,H,SI1,62.8,58.0,4872,6.49,6.47,4.07,41.2872222,-84.5536111
1.16,Premium,I,SI1,60.0,58.0,4872,6.82,6.78,4.08,38.4022222,-122.8227778
1.16,Premium,H,SI2,60.2,59.0,4872,6.84,6.78,4.1,43.0388889,-87.9063889
1.0,Ideal,H,SI1,61.9,57.0,4872,6.43,6.39,3.97,32.7152778,-117.1563889
1.16,Premium,I,SI1,62.7,57.0,4872,6.76,6.67,4.21,39.6847222,-83.9297222
1.01,Ideal,D,SI2,,56.0,4872,,,3.99,38.907231,-77.036464
1.01,Premium,G,SI1,62.6,59.0,4872,6.38,6.3,3.97,40.8527778,-73.1155556
1.03,Ideal,E,SI1,58.9,57.0,4873,6.62,6.56,3.88,39.0997222,-94.5783333
1.07,VeryGood,I,VS2,62.5,56.0,4873,6.5,6.53,4.07,38.5816667,-121.4933333
1.01,VeryGood,H,SI1,63.6,56.0,4873,6.31,6.37,4.03,29.7630556,-95.3630556
1.03,Ideal,G,SI2,61.8,55.0,4873,6.5,6.52,4.02,35.1211111,-81.5161111
1.13,Premium,H,SI2,62.3,57.0,4873,6.68,6.65,4.15,34.9616667,-89.8294444
1.13,Premium,J,VS1,61.1,59.0,4873,6.74,6.67,4.1,45.9975,-121.5269444
1.13,Premium,H,SI2,60.7,54.0,4873,6.82,6.72,4.11,35.3733333,-119.0177778
1.11,Fair,E,SI2,64.7,61.0,4873,6.42,6.39,4.14,-16.92304,145.766251
1.03,Premium,H,VS1,59.2,58.0,4874,6.66,6.61,3.92,41.6027778,-87.7438889
1.03,Ideal,H,VS1,61.5,57.0,4874,6.49,6.45,3.98,36.8,34.633333
1.24,Ideal,J,SI1,61.8,57.0,4875,6.92,6.86,4.26,41.6561111,-70.4166667
1.14,VeryGood,G,SI2,62.4,60.0,4875,6.6,6.67,4.14,42.1194444,-71.3255556
1.02,VeryGood,H,SI1,61.2,57.0,4875,6.47,6.53,3.98,39.1961111,-121.19
1.01,Premium,G,SI1,59.9,56.0,4875,6.6,6.45,3.91,33.885963,35.628685
1.01,Ideal,E,SI2,62.2,56.0,4875,6.45,6.42,4.0,49.233333,-124.8
1.01,VeryGood,H,SI1,61.8,59.0,4876,6.37,6.41,3.95,39.0633333,-84.5930556
1.01,VeryGood,H,SI1,60.0,58.0,4876,6.54,6.6,3.94,41.0813889,-81.5191667
1.23,Premium,F,SI2,61.7,58.0,4876,6.85,6.95,4.26,-33.417358,149.581284
1.01,Ideal,H,SI1,62.3,59.0,4876,6.36,6.41,3.98,29.9230556,-82.7138889
1.15,Ideal,G,SI2,62.4,56.0,4877,6.7,6.74,4.19,43.1547222,-77.6158333
1.11,Good,D,SI2,60.1,63.0,4877,6.68,6.7,4.02,47.1719444,-122.5172222
1.08,Premium,I,VS1,62.5,57.0,4877,6.54,6.51,4.08,40.579532,-74.150201
1.1,VeryGood,I,VS1,,59.0,4878,6.65,6.67,4.06,32.7947222,-116.9616667
1.28,Good,J,SI1,63.4,59.0,4878,6.84,6.89,4.35,38.6272222,-90.1977778
1.05,Good,E,SI1,64.2,61.0,4878,6.33,6.41,4.09,37.6391667,-120.9958333
1.06,VeryGood,H,SI1,62.2,58.0,4878,6.45,6.53,4.04,33.6694444,-117.8222222
1.01,Premium,E,SI2,60.4,60.0,4878,6.49,6.46,3.91,39.7294444,-104.8313889
1.05,Premium,F,SI1,62.8,59.0,4879,6.43,6.4,4.03,42.4625,-83.1041667
0.93,VeryGood,G,VS1,,59.0,4879,6.16,6.21,3.84,42.4666667,-70.95
1.21,Ideal,J,VS2,62.2,57.0,4879,6.78,6.82,4.23,29.055,-82.0625
1.03,VeryGood,H,SI1,61.4,57.0,4879,6.45,6.54,3.99,34.0708333,-112.15
1.32,Premium,H,SI2,59.4,54.0,4879,7.21,7.09,4.25,40.4533333,-111.7772222
1.21,Ideal,I,SI2,64.6,56.0,4879,6.67,6.62,4.29,38.3644444,-98.7644444
1.21,Premium,I,SI2,62.1,59.0,4879,6.86,6.8,4.24,41.4038889,-88.1116667
1.21,Premium,I,SI2,60.7,60.0,4879,6.88,6.82,4.16,-30.97631,-64.095813
1.21,Premium,I,SI2,59.9,58.0,4879,6.94,6.91,4.15,43.151355,-79.39277
1.16,Ideal,G,SI2,61.9,56.0,4880,6.73,6.77,4.18,42.0897222,-76.8080556
1.21,Ideal,I,SI2,60.7,56.0,4880,6.86,6.91,4.18,42.883333,-79.233333
1.02,Ideal,G,SI1,60.5,59.0,4882,6.55,6.51,3.95,30.3502778,-89.1527778
1.0,Good,G,SI1,64.4,54.0,4882,6.29,6.32,4.06,33.4222222,-111.8219444
1.11,Premium,G,SI2,60.7,56.0,4882,6.73,6.68,4.07,37.428046,-110.980711
1.11,Ideal,H,SI2,61.5,55.0,4883,6.65,6.69,4.1,32.7391667,-96.8108333
1.17,Ideal,J,SI1,62.3,55.0,4883,6.74,6.77,4.21,32.4486111,-99.7327778
1.02,Premium,F,SI1,62.5,56.0,4884,6.44,6.35,4.0,42.1538889,-88.1361111
1.14,Premium,G,SI2,60.4,59.0,4884,6.8,6.78,4.1,39.8716667,-79.4925
1.02,Premium,H,SI1,62.9,59.0,4884,6.41,6.38,4.02,38.6272222,-90.1977778
0.9,Ideal,G,VS2,60.8,57.0,4884,6.26,6.17,3.78,40.4405556,-79.9961111
1.21,Premium,I,VS2,62.6,59.0,4884,6.77,6.67,4.21,37.3688889,-122.0352778
1.02,Premium,H,SI1,60.5,60.0,4884,6.58,6.51,3.96,28.8355556,-82.3305556
1.02,VeryGood,H,SI1,63.4,57.0,4884,6.42,6.36,4.05,30.8527778,-95.4033333
1.02,Premium,H,SI1,62.0,60.0,4884,6.4,6.37,3.96,40.345,-74.1844444
1.03,Premium,E,SI2,62.0,59.0,4885,6.42,6.49,4.0,49.13635335,-122.8213433
1.18,Ideal,E,SI2,60.8,57.0,4885,6.89,6.83,4.17,38.8466667,-91.9477778
1.01,Ideal,H,SI1,62.1,56.0,4886,6.38,6.47,3.99,45.7811111,-122.5322222
1.21,VeryGood,G,SI2,58.9,61.0,4887,6.91,6.98,4.09,30.4866667,-90.9561111
1.01,Ideal,I,VS2,61.3,53.0,4887,6.52,6.54,4.0,20.659538,-103.349438
1.06,Good,I,VS1,58.8,62.0,4887,6.65,6.72,3.93,38.1041667,-122.2555556
1.01,Fair,G,VS2,64.9,56.0,4887,6.27,6.21,4.05,41.2591667,-80.4722222
1.01,Fair,G,VS2,64.4,58.0,4887,6.25,6.18,4.0,32.2216667,-110.9258333
0.75,VeryGood,E,VVS1,62.3,57.0,4889,5.73,5.83,3.6,29.9744444,-92.1341667
1.04,Premium,H,SI1,59.5,58.0,4890,6.58,6.67,3.94,37.9405556,-101.2544444
1.04,Premium,H,SI1,62.6,59.0,4890,6.43,6.47,4.04,40.0175,-90.4241667
1.14,VeryGood,H,SI1,59.2,58.0,4890,6.8,6.86,4.04,45.9047222,-122.7427778
1.01,VeryGood,F,SI1,59.8,59.0,4890,6.39,6.43,3.83,42.5583333,-71.2694444
1.01,VeryGood,G,SI1,,57.0,4890,,,3.98,29.8944444,-81.3147222
1.2,Ideal,I,SI2,59.6,61.0,4890,6.95,6.97,4.15,40.9377778,-72.3013889
1.02,Ideal,G,SI2,61.0,57.0,4890,6.51,6.58,3.99,18.533333,-68.366667
1.11,Ideal,I,SI1,62.2,56.0,4890,6.62,6.65,4.13,44.8230556,-70.34
0.9,Premium,H,VVS1,62.3,59.0,4890,6.15,6.09,3.81,35.7511111,-86.93
1.03,Ideal,F,SI2,60.9,56.0,4891,6.56,6.51,3.98,33.3061111,-111.8405556
1.09,Ideal,F,SI2,61.2,57.0,4891,6.6,6.64,4.05,47.692526,-114.165781
1.2,VeryGood,J,SI1,61.3,59.0,4891,6.83,6.9,4.21,45.5925,-73.342699
1.0,Fair,G,VS1,63.1,68.0,4892,6.32,6.17,3.94,41.2333333,-80.4488889
1.04,Premium,E,SI2,62.4,57.0,4892,6.51,6.43,4.04,42.0986111,-75.9183333
1.04,Premium,I,VS1,61.6,56.0,4892,6.59,6.52,4.04,44.3633333,-98.2138889
0.96,VeryGood,G,VS1,60.5,63.0,4892,6.32,6.28,3.81,33.4222222,-111.8219444
1.04,Ideal,E,SI2,61.4,56.0,4892,6.56,6.5,4.01,42.3055556,-77.0494444
1.04,Ideal,E,SI2,62.0,55.0,4892,6.51,6.48,4.03,41.2333333,-80.4488889
0.91,Premium,F,VS2,62.2,58.0,4892,6.21,6.17,3.85,31.1238889,-97.9027778
0.8,VeryGood,E,VVS2,62.8,57.0,4893,5.93,5.95,3.73,38.8338889,-104.8208333
1.05,VeryGood,I,VS2,63.2,56.0,4895,6.47,6.51,4.1,39.12,-90.3283333
1.23,VeryGood,J,VS2,,59.0,4896,6.8,6.85,4.29,27.8713889,-81.7152778
1.1,Ideal,F,SI2,60.4,55.0,4897,6.77,6.73,4.08,37.8044444,-122.2697222
1.1,Ideal,I,VS2,62.0,56.0,4897,6.67,6.62,4.12,26.2772222,-98.5633333
0.9,VeryGood,F,VS1,62.1,58.0,4898,6.15,6.19,3.83,44.193264,-70.709174
0.9,Good,F,VS1,62.8,60.0,4898,6.11,6.15,3.85,40.174276,-75.106839
1.47,Fair,H,I1,66.7,59.0,4898,6.98,6.94,4.64,41.3830556,-71.6422222
1.01,VeryGood,F,SI1,59.5,62.0,4899,6.45,6.53,3.86,47.6588889,-117.425
1.01,VeryGood,F,SI1,61.0,61.0,4899,6.44,6.47,3.94,40.7616667,-73.3297222
1.01,Good,F,SI1,63.3,59.0,4899,6.38,6.42,4.05,48.2933333,-122.6419444
1.01,Good,F,SI1,,58.0,4899,6.31,6.37,4.03,39.8308333,-77.2313889
1.01,VeryGood,F,SI1,59.7,61.0,4899,6.49,6.55,3.89,33.448377,-112.074037
1.01,Good,F,SI1,63.7,57.0,4899,6.35,6.4,4.06,35.8888889,-79.8080556
1.01,Good,F,SI1,63.8,59.0,4899,6.29,6.32,4.02,44.0747222,-89.2877778
